[ 2023-08-07 13:36:32,619 ] 802 tika.tika - INFO - Retrieving http://search.maven.org/remotecontent?filepath=org/apache/tika/tika-server-standard/2.6.0/tika-server-standard-2.6.0.jar to C:\Users\RAYEN\AppData\Local\Temp\tika-server.jar.
[ 2023-08-07 13:37:32,528 ] 802 tika.tika - INFO - Retrieving http://search.maven.org/remotecontent?filepath=org/apache/tika/tika-server-standard/2.6.0/tika-server-standard-2.6.0.jar.md5 to C:\Users\RAYEN\AppData\Local\Temp\tika-server.jar.md5.
[ 2023-08-07 13:37:33,154 ] 669 tika.tika - ERROR - Unable to run java; is it installed?
[ 2023-08-07 13:37:34,487 ] 601 tika.tika - ERROR - Failed to receive startup confirmation from startServer.
[ 2023-08-07 13:37:34,488 ] 32 root - ERROR - Error while reading the file: Unable to start Tika server.
[ 2023-08-07 13:37:34,560 ] 20 root - ERROR - Error while reading the file: local variable 'e' referenced before assignment
[ 2023-08-07 13:37:34,560 ] 21 root - INFO - Files transformed succesfully
[ 2023-08-07 13:37:36,718 ] 669 tika.tika - ERROR - Unable to run java; is it installed?
[ 2023-08-07 13:37:36,731 ] 601 tika.tika - ERROR - Failed to receive startup confirmation from startServer.
[ 2023-08-07 13:37:36,731 ] 32 root - ERROR - Error while reading the file: Unable to start Tika server.
[ 2023-08-07 13:37:36,731 ] 20 root - ERROR - Error while reading the file: local variable 'e' referenced before assignment
[ 2023-08-07 13:37:36,731 ] 21 root - INFO - Files transformed succesfully
[ 2023-08-07 13:37:38,888 ] 669 tika.tika - ERROR - Unable to run java; is it installed?
[ 2023-08-07 13:37:38,888 ] 601 tika.tika - ERROR - Failed to receive startup confirmation from startServer.
[ 2023-08-07 13:37:38,889 ] 32 root - ERROR - Error while reading the file: Unable to start Tika server.
[ 2023-08-07 13:37:38,890 ] 20 root - ERROR - Error while reading the file: local variable 'e' referenced before assignment
[ 2023-08-07 13:37:38,890 ] 21 root - INFO - Files transformed succesfully
[ 2023-08-07 13:37:41,021 ] 669 tika.tika - ERROR - Unable to run java; is it installed?
[ 2023-08-07 13:37:41,022 ] 601 tika.tika - ERROR - Failed to receive startup confirmation from startServer.
[ 2023-08-07 13:37:41,022 ] 32 root - ERROR - Error while reading the file: Unable to start Tika server.
[ 2023-08-07 13:37:41,022 ] 20 root - ERROR - Error while reading the file: local variable 'e' referenced before assignment
[ 2023-08-07 13:37:41,023 ] 21 root - INFO - Files transformed succesfully
