,model,type,name,similarity,ranking
0,model80,react,CV_Amine_Gafsi.pdf,39.689494936611666,5.0
1,model100,react,CV_Amine_Gafsi.pdf,32.449494936611664,6.0
2,model150,react,CV_Amine_Gafsi.pdf,28.574494936611668,6.0
3,model40,react,CV_Amine_Gafsi.pdf,50.54449493661167,6.0
4,model80,laravel,CV_Amine_Gafsi.pdf,34.56375655532295,5.0
5,model100,laravel,CV_Amine_Gafsi.pdf,30.048756555322953,6.0
6,model150,laravel,CV_Amine_Gafsi.pdf,23.283756555322952,7.0
7,model40,laravel,CV_Amine_Gafsi.pdf,52.87875655532295,6.0
8,model80,react,laravel.pdf,50.30449493661167,4.0
9,model100,react,laravel.pdf,49.64949493661167,4.0
10,model150,react,laravel.pdf,47.45949493661166,4.0
11,model40,react,laravel.pdf,66.11949493661166,2.0
12,model80,laravel,laravel.pdf,52.80185174601965,3.0
13,model100,laravel,laravel.pdf,48.97185174601965,3.0
14,model150,laravel,laravel.pdf,48.656851746019655,4.0
15,model40,laravel,laravel.pdf,69.16685174601966,2.0
16,model80,react,rayen.pdf,27.369355652982144,7.0
17,model100,react,rayen.pdf,25.939355652982144,7.0
18,model150,react,rayen.pdf,27.82935565298214,7.0
19,model40,react,rayen.pdf,52.984355652982146,4.0
20,model80,laravel,rayen.pdf,30.81328693386971,7.0
21,model100,laravel,rayen.pdf,28.083286933869708,7.0
22,model150,laravel,rayen.pdf,33.94828693386971,5.0
23,model40,laravel,rayen.pdf,61.37828693386971,3.0
24,model80,react,react3.pdf,50.93642819948225,3.0
25,model100,react,react3.pdf,52.72642819948225,2.0
26,model150,react,react3.pdf,52.62642819948225,2.0
27,model40,react,react3.pdf,56.28142819948225,3.0
28,model80,laravel,react3.pdf,49.45828693386971,4.0
29,model100,laravel,react3.pdf,48.50328693386971,4.0
30,model150,laravel,react3.pdf,49.99828693386971,3.0
31,model40,laravel,react3.pdf,57.22328693386971,4.0
32,model80,react,react_native.pdf,58.07,1.0
33,model100,react,react_native.pdf,55.885000000000005,1.0
34,model150,react,react_native.pdf,53.45,1.0
35,model40,react,react_native.pdf,66.295,1.0
36,model80,laravel,react_native.pdf,53.33828693386971,2.0
37,model100,laravel,react_native.pdf,52.80828693386971,2.0
38,model150,laravel,react_native.pdf,54.07328693386971,1.0
39,model40,laravel,react_native.pdf,69.3482869338697,1.0
40,model80,react,react_native2.pdf,33.870000000000005,6.0
41,model100,react,react_native2.pdf,33.06,5.0
42,model150,react,react_native2.pdf,33.96,5.0
43,model40,react,react_native2.pdf,47.98,7.0
44,model80,laravel,react_native2.pdf,32.32,6.0
45,model100,laravel,react_native2.pdf,31.86,5.0
46,model150,laravel,react_native2.pdf,32.89,6.0
47,model40,laravel,react_native2.pdf,44.025,7.0
48,model80,react,react_native4.pdf,51.260000000000005,2.0
49,model100,react,react_native4.pdf,50.215,3.0
50,model150,react,react_native4.pdf,49.495000000000005,3.0
51,model40,react,react_native4.pdf,52.379999999999995,5.0
52,model80,laravel,react_native4.pdf,56.891851746019654,1.0
53,model100,laravel,react_native4.pdf,55.05185174601965,1.0
54,model150,laravel,react_native4.pdf,53.141851746019654,2.0
55,model40,laravel,react_native4.pdf,53.696851746019654,5.0
56,model80,react,scrum_master.pdf,13.9,8.0
57,model100,react,scrum_master.pdf,10.025,8.0
58,model150,react,scrum_master.pdf,14.305,8.0
59,model40,react,scrum_master.pdf,31.185,8.0
60,model80,laravel,scrum_master.pdf,24.130000000000003,8.0
61,model100,laravel,scrum_master.pdf,17.875,8.0
62,model150,laravel,scrum_master.pdf,21.96,8.0
63,model40,laravel,scrum_master.pdf,31.24,8.0
